country,essround,year,stfeco_value,share
EE,2,2004.0,8,0.06142857142857143
EE,2,2004.0,9,0.012857142857142857
EE,2,2004.0,10,0.007142857142857143
EE,2,2004.0,88,0.03857142857142857
EE,2,2004.0,99,0.0007142857142857143
EE,2,2005.0,0,0.030560271646859084
EE,2,2005.0,1,0.030560271646859084
EE,2,2005.0,2,0.07130730050933787
EE,2,2005.0,3,0.13921901528013583
EE,2,2005.0,4,0.15280135823429541
EE,2,2005.0,5,0.1969439728353141
EE,2,2005.0,6,0.14091680814940577
EE,2,2005.0,7,0.11714770797962648
EE,2,2005.0,8,0.06791171477079797
EE,2,2005.0,9,0.015280135823429542
EE,2,2005.0,10,0.001697792869269949
EE,2,2005.0,88,0.035653650254668934
ES,1,2002.0,0,0.04280936454849498
ES,1,2002.0,1,0.0274247491638796
ES,1,2002.0,2,0.06354515050167224
ES,1,2002.0,3,0.1096989966555184
ES,1,2002.0,4,0.13444816053511705
ES,1,2002.0,5,0.23277591973244147
ES,1,2002.0,6,0.14247491638795987
ES,1,2002.0,7,0.11304347826086956
ES,1,2002.0,8,0.06354515050167224
ES,1,2002.0,9,0.013377926421404682
ES,1,2002.0,10,0.01471571906354515
ES,1,2002.0,77,0.0013377926421404682
ES,1,2002.0,88,0.04080267558528428
ES,1,2003.0,0,0.017094017094017096
ES,1,2003.0,1,0.029914529914529916
ES,1,2003.0,2,0.09401709401709402
ES,1,2003.0,3,0.1623931623931624
ES,1,2003.0,4,0.16666666666666666
ES,1,2003.0,5,0.21794871794871795
ES,1,2003.0,6,0.13247863247863248
ES,1,2003.0,7,0.10683760683760683
ES,1,2003.0,8,0.04700854700854701
ES,1,2003.0,88,0.02564102564102564
ES,2,2004.0,0,0.025810721376571807
ES,2,2004.0,1,0.01257445400397088
ES,2,2004.0,2,0.04434149569821311
ES,2,2004.0,3,0.0814030443414957
ES,2,2004.0,4,0.11317008603573792
ES,2,2004.0,5,0.22766379880873594
ES,2,2004.0,6,0.21244209133024486
ES,2,2004.0,7,0.15089344804765056
ES,2,2004.0,8,0.07875579086697551
ES,2,2004.0,9,0.013236267372600927
ES,2,2004.0,10,0.011912640635340834
ES,2,2004.0,77,0.001985440105890139
ES,2,2004.0,88,0.025810721376571807
ES,2,2005.0,0,0.013157894736842105
ES,2,2005.0,1,0.02631578947368421
ES,2,2005.0,2,0.019736842105263157
ES,2,2005.0,3,0.08552631578947369
ES,2,2005.0,4,0.09210526315789473
ES,2,2005.0,5,0.3092105263157895
ES,2,2005.0,6,0.15789473684210525
ES,2,2005.0,7,0.15789473684210525
ES,2,2005.0,8,0.07894736842105263
ES,2,2005.0,10,0.006578947368421052
ES,2,2005.0,77,0.006578947368421052
ES,2,2005.0,88,0.046052631578947366
FI,1,2002.0,0,0.011
FI,1,2002.0,1,0.0075
FI,1,2002.0,2,0.0235
FI,1,2002.0,3,0.051
FI,1,2002.0,4,0.0895
FI,1,2002.0,5,0.1215
FI,1,2002.0,6,0.171
FI,1,2002.0,7,0.269
FI,1,2002.0,8,0.1815
FI,1,2002.0,9,0.0505
FI,1,2002.0,10,0.0105
FI,1,2002.0,77,0.0005
FI,1,2002.0,88,0.013
FI,2,2004.0,0,0.006429277942631058
FI,2,2004.0,1,0.008902077151335312
FI,2,2004.0,2,0.013847675568743818
FI,2,2004.0,3,0.03857566765578635
FI,2,2004.0,4,0.058358061325420374
FI,2,2004.0,5,0.09099901088031652
FI,2,2004.0,6,0.16963402571711178
FI,2,2004.0,7,0.2873392680514342
FI,2,2004.0,8,0.2354104846686449
FI,2,2004.0,9,0.05885262116716122
FI,2,2004.0,10,0.013847675568743818
FI,2,2004.0,77,0.0004945598417408506
FI,2,2004.0,88,0.01730959446092977
FR,1,2003.0,0,0.12242182302062542
FR,1,2003.0,1,0.06320691949434465
FR,1,2003.0,2,0.13506320691949433
FR,1,2003.0,3,0.1590153027278776
FR,1,2003.0,4,0.1596806387225549
FR,1,2003.0,5,0.18962075848303392
FR,1,2003.0,6,0.08649367930805056
FR,1,2003.0,7,0.04324683965402528
FR,1,2003.0,8,0.020625415834996674
FR,1,2003.0,9,0.00332667997338656
FR,1,2003.0,10,0.003992015968063872
FR,1,2003.0,88,0.01330671989354624
FR,2,2004.0,0,0.08
FR,2,2004.0,1,0.05028571428571429
