country,year,middle_class_wealth_share
BB,1990,0.2772
BB,1991,0.2794
BB,1992,0.2799
BB,1993,0.281
BB,1994,0.283
BB,1995,0.2907
BB,1996,0.2914
BB,1997,0.2926
BB,1998,0.2941
BB,1999,0.2951
BB,2000,0.2958
BB,2001,0.297
BB,2002,0.2977
BB,2003,0.2999
BB,2004,0.3026
BB,2005,0.3037
BB,2006,0.3051
BB,2007,0.306
BB,2008,0.3074
BB,2009,0.3086
BB,2010,0.3091
BB,2011,0.3121
BB,2012,0.3152
BB,2013,0.3181
BB,2014,0.32
BB,2015,0.3231
BB,2016,0.3268
BB,2017,0.33
BB,2018,0.3326
BB,2019,0.3355
BB,2020,0.3394
BB,2021,0.3392
BB,2022,0.3296
BB,2023,0.3342
BB,2024,0.3347
BD,1820,0.3065
BD,1850,0.289
BD,1880,0.2549
BD,1900,0.2594
BD,1910,0.3118
BD,1920,0.2555
BD,1930,0.2814
BD,1940,0.2342
BD,1950,0.343
BD,1960,0.2953
BD,1970,0.2168
BD,1980,0.3778
BD,1981,0.3778
BD,1982,0.3778
BD,1983,0.3778
BD,1984,0.3751
BD,1985,0.3734
BD,1986,0.3724
BD,1987,0.3716
BD,1988,0.371
BD,1989,0.3716
BD,1990,0.3727
BD,1991,0.3738
BD,1992,0.3712
BD,1993,0.369
BD,1994,0.3654
BD,1995,0.362
BD,1996,0.3623
BD,1997,0.3625
BD,1998,0.3627
BD,1999,0.3627
BD,2000,0.3628
BD,2001,0.3626
BD,2002,0.3619
BD,2003,0.3608
BD,2004,0.3605
BD,2005,0.3602
BD,2006,0.3611
BD,2007,0.3619
BD,2008,0.3636
BD,2009,0.365
BD,2010,0.3649
BD,2011,0.3657
BD,2012,0.3662
BD,2013,0.3667
BD,2014,0.3674
BD,2015,0.3681
BD,2016,0.3686
BD,2017,0.3686
BD,2018,0.3686
BD,2019,0.3685
BD,2020,0.3685
BD,2021,0.3686
BD,2022,0.3685
BD,2023,0.3686
BD,2024,0.3685
BE,1980,0.3945
BE,1981,0.3943
BE,1982,0.3948
BE,1983,0.3951
BE,1984,0.3954
BE,1985,0.3946
BE,1986,0.3939
BE,1987,0.3934
BE,1988,0.3923
BE,1989,0.3917
BE,1990,0.3927
BE,1991,0.3936
BE,1992,0.394
BE,1993,0.3939
BE,1994,0.3926
BE,1995,0.3934
BE,1996,0.3932
BE,1997,0.3929
BE,1998,0.3934
BE,1999,0.3925
BE,2000,0.3933
BE,2001,0.3935
BE,2002,0.394
BE,2003,0.3941
BE,2004,0.3935
BE,2005,0.3937
BE,2006,0.3926
BE,2007,0.3914
BE,2008,0.393
BE,2009,0.3942
BE,2010,0.3933
BE,2011,0.3985
BE,2012,0.4075
BE,2013,0.4118
BE,2014,0.4102
BE,2015,0.4046
BE,2016,0.4051
BE,2017,0.4045
BE,2018,0.4036
BE,2019,0.4028
BE,2020,0.4034
BE,2021,0.4028
BE,2022,0.4031
BE,2023,0.4026
BE,2024,0.4001
BF,1980,0.2675
BF,1981,0.2673
BF,1982,0.2675
BF,1983,0.2676
BF,1984,0.2676
BF,1985,0.2676
BF,1986,0.2674
BF,1987,0.2674
BF,1988,0.2676
BF,1989,0.2674
BF,1990,0.2675
BF,1991,0.2675
BF,1992,0.2673
BF,1993,0.2675
BF,1994,0.2674
BF,1995,0.2647
BF,1996,0.2621
BF,1997,0.26
BF,1998,0.2589
BF,1999,0.2621
BF,2000,0.2678
BF,2001,0.2944
BF,2002,0.3126
BF,2003,0.3241
BF,2004,0.3256
BF,2005,0.3279
BF,2006,0.3293
BF,2007,0.3306
BF,2008,0.332
BF,2009,0.3331
BF,2010,0.3367
BF,2011,0.3437
BF,2012,0.3469
BF,2013,0.3502
BF,2014,0.3521
BF,2015,0.3452
BF,2016,0.3321
BF,2017,0.322
BF,2018,0.3141
BF,2019,0.3249
BF,2020,0.3362
BF,2021,0.3507
BF,2022,0.3507
BF,2023,0.3506
BF,2024,0.3506
BG,1980,0.3898
BG,1981,0.3898
BG,1982,0.3891
BG,1983,0.3893
BG,1984,0.3895
BG,1985,0.3898
BG,1986,0.3898
BG,1987,0.3898
BG,1988,0.3898
BG,1989,0.3896
BG,1990,0.3888
BG,1991,0.3877
BG,1992,0.3849
BG,1993,0.3831
BG,1994,0.3726
BG,1995,0.3706
BG,1996,0.3727
BG,1997,0.3741
BG,1998,0.3781
BG,1999,0.3781
BG,2000,0.381
BG,2001,0.3776
BG,2002,0.3748
BG,2003,0.3767
BG,2004,0.3786
BG,2005,0.377
BG,2006,0.3775
BG,2007,0.3815
BG,2008,0.3829
BG,2009,0.3796
BG,2010,0.3798
BG,2011,0.3787
BG,2012,0.3743
BG,2013,0.377
BG,2014,0.3737
BG,2015,0.3719
BG,2016,0.3681
BG,2017,0.3624
BG,2018,0.3627
BG,2019,0.3687
BG,2020,0.3687
BG,2021,0.3636
BG,2022,0.3565
BG,2023,0.3582
BG,2024,0.3587
BH,1980,0.279
BH,1981,0.2792
BH,1982,0.2789
BH,1983,0.2789
BH,1984,0.2792
BH,1985,0.2791
BH,1986,0.279
